"nom_commercial","raison_sociale","email","telephone","website","adresse","ville","region","pays","code_postal","secteur_activite","taille_entreprise","type_entreprise","nombre_employes","chiffre_affaires","description","siren","siret","code_naf","qualification_score","score_pct","qualification","enrich_score","email_mx_verified","criteria_met","criteria_total","source","source_origin","email_valid","website_active","linkedin_url","created_at","is_converted","is_deleted","job_id","nlp_confidence","secteur_activite_id","secteur_activite_scraped","sector_confidence","updated_at"
"DBL CONSTRUCTIONS","DBL CONSTRUCTIONS","","","","ZAC DE L'EPI D'OR 22 RUE DE L'EPI D'OR 94800 VILLEJUIF","Villejuif","Île-de-France","France","94800","BTP","","","","","","394680953","39468095300111","41.20A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:44.165037","","False","","0.462","2","Non spécifié","0.5","2026-04-21T17:24:44.165037"
"FOSTER CONSTRUCTION","FOSTER CONSTRUCTION","","","","32 BOULEVARD DE STRASBOURG 75010 PARIS","Paris","Île-de-France","France","75010","BTP","","","","","","493927156","49392715600015","41.20A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:44.165037","","False","","0.545","2","Non spécifié","0.5","2026-04-21T17:24:44.165037"
"IMMOBILIERE VENDENNE DE CONSTRUCTION (IVECO)","IMMOBILIERE VENDENNE DE CONSTRUCTION","","","","15 RUE TRONCHET 75008 PARIS","Paris","Île-de-France","France","75008","BTP","","","","","","301853529","30185352900123","41.20A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:44.165037","","False","","0.486","2","Non spécifié","0.5","2026-04-21T17:24:44.165037"
"AMMARI CONSTRUCTION","AMMARI CONSTRUCTION","info@ammariconstruction.net","09.52.69.50.35","https://ammariconstruction.com","5 RUE BEAUGRENELLE 75015 PARIS","Paris","Île-de-France","France","75015","BTP","","","","","","752661843","75266184300041","41.20A","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","","False","","0.402","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"J M CONSTRUCTIONS SARL","J M CONSTRUCTIONS SARL","","","https://www.monartisan.info/pro-j-m-constructions-sarl-48751627000013","53 RUE LAVOISIER 95330 DOMONT","Domont","Île-de-France","France","95330","BTP","","","","","Contactez J M CONSTRUCTIONS SARL à DOMONT (95330) : téléphone, adresse, zone d’intervention et informations légales","487516270","48751627000013","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","","False","","1.0","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"METIN CONSTRUCTION","METIN CONSTRUCTION","","","","184 RUE DE PARIS 93130 NOISY-LE-SEC","Noisy-le-Sec","Île-de-France","France","93130","BTP","","","","","","888842325","88884232500035","41.20A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:44.166533","","False","","0.455","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"IDOINE CONSTRUCTION","IDOINE CONSTRUCTION","alemaire@idoine.fr","06 37 78 27 32","https://idoine.com","19-21 19 RUE DU BOULOI 75001 PARIS","Paris","Île-de-France","France","75001","BTP","","","","","","914262191","91426219100010","41.20A","70","70.0","QUALIFIE","4","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/idoine-design-and-build/","2026-04-21T17:24:44.166533","","False","","0.366","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"SILVAE CONSTRUCTIONS","SILVAE CONSTRUCTIONS","","","","97 AVENUE ROGER SALENGRO 91600 SAVIGNY-SUR-ORGE","Savigny-sur-Orge","Île-de-France","France","91600","BTP","","","","","","918987009","91898700900027","41.20A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:44.166533","","False","","0.467","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"TIB CONSTRUCTION (TIB CONSTRUCTION) (TIB CONSTRUCTION)","TIB CONSTRUCTION","","","https://entreprises.lefigaro.fr/tib-construction-44/entreprise-978934917","121 AVENUE DES CHAMPS ELYSEES 75008 PARIS","Paris","Île-de-France","France","75008","BTP","","","","","Société Tib Construction (Paris, 75008) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","978934917","97893491700029","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","","False","","0.421","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"INOV CONSTRUCTION (INOV CONSTRUCTION)","INOV CONSTRUCTION","contact@inovconstruction.fr","01 72 52 35 09","https://inovconstruction.fr","1 RUE LE NOTRE 95190 GOUSSAINVILLE","Goussainville","Île-de-France","France","95190","BTP","","","","","Travaux Construction neuve rénovation Gros Œuvre - Maçonnerie - façade et isolation, Carrelage en intérieur et extérieur","818502841","81850284100054","41.20A","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:44.166533","","False","","0.374","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"S.B.C CONSTRUCTION","S.B.C CONSTRUCTION","","","https://entreprises.lefigaro.fr/s-b-c-construction-75/entreprise-439520065","CHEZ SOCIETE KC DOM 23 RUE D'HAUTEVILLE 75010 PARIS","Paris","Île-de-France","France","75010","BTP","","","","","Société SBC Construction (Paris, 75010) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","439520065","43952006500038","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","","False","","0.441","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"LIVRY CONSTRUCTION","LIVRY CONSTRUCTION","","","https://livry-constructions.fr","48 A 58 48 AVENUE LUCIE AUBRAC 93190 LIVRY-GARGAN","Livry-Gargan","Île-de-France","France","93190","BTP","","","","","","443722202","44372220200035","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","","False","","0.425","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"RENOVAISSANCE CONSTRUCTION (RENOVAISSANCE PROMOTION)","RENOVAISSANCE CONSTRUCTION","","","","FERME DES TAILLIS BOURDRIE 91400 GOMETZ-LA-VILLE","Gometz-la-Ville","Île-de-France","France","91400","BTP","","","","","","509950531","50995053100020","41.20A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:44.166533","","False","","0.438","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"DCG CONSTRUCTION","DCG CONSTRUCTION","","","https://www.carte-entreprises.fr/entreprise/530898543-dcg-construction","25 RUE NOTRE DAME DES CHAMPS 91100 CORBEIL-ESSONNES","Corbeil-Essonnes","Île-de-France","France","91100","BTP","","","","","DCG CONSTRUCTION — 70.10Z — 25 RUE NOTRE DAME DES CHAMPS 91100 CORBEIL-ESSONNES — Dirigeant : DOMINIQUE GIANNONE (GIANNONE), CORINNE LAURE MARIE-LOUISE GIANNONE (LUCAS) — SIREN 530898543","530898543","53089854300018","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.167553","","False","","0.494","2","Non spécifié","0.5","2026-04-21T17:24:44.167553"
"AP CONSTRUCTION (AWAPLAISIR)","AP CONSTRUCTION","contact@awaplaisir.fr","","https://awaplaisir.fr","10 RUE FRANCOISE DOLTO 78130 LES MUREAUX","Les Mureaux","Île-de-France","France","78130","BTP","","","","","Pose Shopify Template with multiple layouts and styles allows you to create different structures and satisfies any specific requirements for different kinds of business.","951345305","95134530500027","41.20A","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:44.167553","","False","","0.432","2","Non spécifié","0.5","2026-04-21T17:24:44.167553"
"FK CONSTRUCTION","FK CONSTRUCTION","","","","ZONE D'ACTIVITE DU RU DES CAVES AVENUE DE LA LIBERATION 77830 PAMFOU","Pamfou","Île-de-France","France","77830","BTP","","","","","","844899609","84489960900045","41.20A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:44.167553","","False","","0.359","2","Non spécifié","0.5","2026-04-21T17:24:44.167553"
"JLG CONSTRUCTION (JLG CONSTRUCTION)","JLG CONSTRUCTION","","","","35 BOULEVARD DU CHAMPY RICHARDETS 93160 NOISY-LE-GRAND","Noisy-le-Grand","Île-de-France","France","93160","BTP","","","","","","840792576","84079257600034","41.20A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:44.167553","","False","","0.354","2","Non spécifié","0.5","2026-04-21T17:24:44.167553"
"G & D CONSTRUCTION","G & D CONSTRUCTION","","","https://www.prosmaison.fr/entreprise-84164951000036","4 RUE DES VIEILLES GRANGES 78410 AUBERGENVILLE","Aubergenville","Île-de-France","France","78410","BTP","","","","","Contactez G & D CONSTRUCTION à AUBERGENVILLE (78410) : téléphone, adresse, zone d’intervention et informations légales","841649510","84164951000036","41.20A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.167553","","False","","0.353","2","Non spécifié","0.5","2026-04-21T17:24:44.167553"
"CONSTRUCTIONS DE L'ATLANTIQUE","CONSTRUCTIONS DE L'ATLANTIQUE","","","","22 AVENUE DE L'EPI D'OR 94800 VILLEJUIF","Villejuif","Île-de-France","France","94800","BTP","","","","","","444902043","44490204300041","41.20A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:44.167553","","False","","0.406","2","Non spécifié","0.5","2026-04-21T17:24:44.167553"
"D CONSTRUCTION","D CONSTRUCTION","","","","4 CHEMIN DES CORDELIERS 78711 MANTES-LA-VILLE","Mantes-la-Ville","Île-de-France","France","78711","BTP","","","","","","911008118","91100811800018","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.499476","","False","","0.434","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"VALENTE CONSTRUCTION","VALENTE CONSTRUCTION","valente@valente-construction.fr","06.50.14.98.18","https://www.valente-construction.fr","243 RUE ROBERT FOURNIER 77120 MOUROUX","Mouroux","Île-de-France","France","77120","BTP","","","","","Valente Construction est spécialisé dans la construction de maison traditionnelle et moderne en Seine et Marne ... Nous proposons également des constructions de maison haut de gamme.","388292005","38829200500039","41.20B","70","70.0","QUALIFIE","4","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/25261465/admin/updates/","2026-04-21T17:24:54.499476","","False","","0.566","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"NC CONSTRUCTIONS","NC CONSTRUCTIONS","contact@nc-constructions.fr","06 99 03 17 86","https://www.nc-constructions.fr/service/entreprise-construction-paris","266 AVENUE DAUMESNIL 75012 PARIS","Paris","Île-de-France","France","75012","BTP","","","","","","828985382","82898538200013","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.499476","","False","","0.496","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"EDILE CONSTRUCTION (S.C.G.E. EDILE CONSTRUCTION)","EDILE CONSTRUCTION","edile@edileconstruction.com","01 70 27 90 00","https://edileconstruction.fr","80 AVENUE DE LA GRANDE ARMEE 75017 PARIS","Paris","Île-de-France","France","75017","BTP","","","","","EDILE Construction - Entreprise générale de bâtiment en France.","377700554","37770055400050","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.499476","","False","","0.461","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"MOEVA CONSTRUCTION (MC)","MOEVA CONSTRUCTION","","","https://entreprises.lefigaro.fr/moeva-construction-976/entreprise-893522953","60 RUE DE LA JONQUIERE 75017 PARIS","Paris","Île-de-France","France","75017","BTP","","","","","Société Moeva Construction (Paris, 75017) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","893522953","89352295300023","41.20B","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:54.499476","","False","","0.505","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"ACM CONSTRUCTION","ACM CONSTRUCTION","infos@acmconstruction.fr","09 72 11 40 82","https://www.acmconstruction.fr","91 AVENUE SAINT JACQUES 91600 SAVIGNY-SUR-ORGE","Savigny-sur-Orge","Île-de-France","France","91600","BTP","","","","","","484277710","48427771000022","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.499476","","False","","0.396","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"NEUILLY CONSTRUCTIONS","NEUILLY CONSTRUCTIONS","","","https://entreprises.annuairefrancais.fr/93330/neuilly-constructions-neuilly-sur-marne-93-seine-saint-denis-497513309-00011.html","72 RUE THEOPHILE GAUBERT 93330 NEUILLY-SUR-MARNE","Neuilly-sur-Marne","Île-de-France","France","93330","BTP","","","","","NEUILLY CONSTRUCTIONS (siren n° 497513309) est installé dans la commune de Neuilly-sur-Marne à l'adresse 74 RUE THEOPHILE GAUBERT dans le département de la Seine saint denis téléphone... neuilly constructions est référencé dans l'Annuaire Français dans la catégorie entreprises de batiments, informations complètes Bilans gratuits, statuts, chiffre d'affaires, dirigeants, actionnaires, levées de fonds, annonces légales, APE, NAF, TVA, RCS, KBIS, SIREN, SIRET, BODACC, INSEE, INPI.","497513309","49751330900029","41.20B","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:54.499476","","False","","0.501","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"HUGO CONSTRUCTION (ESTB)","HUGO CONSTRUCTION","umuc.hugoconstruction@gmail.com","03-22-12-00-59","https://www.hugoconstruction.fr","10 ALLEE DU CENTRE 91760 ITTEVILLE","Itteville","Île-de-France","France","91760","BTP","","","","","","817602162","81760216200056","41.20B","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:54.499476","","False","","0.446","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"PMB CONSTRUCTIONS","PMB CONSTRUCTIONS","","","","6 RUE MARIE CURIE 91700 VILLIERS-SUR-ORGE","Villiers-sur-Orge","Île-de-France","France","91700","BTP","","","","","","808230767","80823076700036","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.499476","","False","","0.455","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"EU CONSTRUCTION","EU CONSTRUCTION","contact@euconstruction.eu","+33781139835","https://www.euconstruction.fr","1-3 1 RUE D'ENGHIEN 75010 PARIS","Paris","Île-de-France","France","75010","BTP","","","","","","520782061","52078206100011","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.499476","","False","","0.491","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"D.E.S CONSTRUCTIONS (MAISON -LOGE.KO)","D.E.S CONSTRUCTIONS","","","","ZA DE LA TUILERIE RUE DE LA BRIQUETERIE 77500 CHELLES","Chelles","Île-de-France","France","77500","BTP","","","","","","529300626","52930062600023","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.499476","","False","","0.488","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"NOUVELLE ENTREPRISE DE CONSTRUCTION (NEC)","NOUVELLE ENTREPRISE DE CONSTRUCTION","","","","35 QUAI D'ANJOU 75004 PARIS","Paris","Île-de-France","France","75004","BTP","","","","","","313986705","31398670500017","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.499476","","False","","0.516","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"COMPAGNIE GENERALE DE CONSTRUCTION (CGC CONSTRUCTIONS) (CGC)","COMPAGNIE GENERALE DE CONSTRUCTION","","","","19 AVENUE D'ITALIE 75013 PARIS","Paris","Île-de-France","France","75013","BTP","","","","","","485016497","48501649700029","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.499476","","False","","0.498","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"CONSTRUCTION & INGENIERIE & MAITRISE DE LA CONSTRUCTION (CIMC) (CIMC)","CONSTRUCTION & INGENIERIE & MAITRISE DE LA CONSTRUCTION","","","","38 RUE SERVAN 75011 PARIS","Paris","Île-de-France","France","75011","BTP","","","","","","829922830","82992283000015","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.500487","","False","","0.475","2","Non spécifié","0.5","2026-04-21T17:24:54.500487"
"CONSTRUCTION RENOVATION PLUS (CR+) (CR+)","CONSTRUCTION RENOVATION PLUS","","","","HAMEAU DU LIBERNON 27 IMPASSE DE LA FERME 77580 CRECY-LA-CHAPELLE","Crecy-la-Chapelle","Île-de-France","France","77580","BTP","","","","","","752802058","75280205800012","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.500487","","False","","0.399","2","Non spécifié","0.5","2026-04-21T17:24:54.500487"
"CONSTRUCTIONS DE MAISONS LAFFITTE (CML)","CONSTRUCTIONS DE MAISONS LAFFITTE","","","","31 RUE DU PRIEURE 78600 MAISONS-LAFFITTE","Maisons-Laffitte","Île-de-France","France","78600","BTP","","","","","","329142863","32914286300052","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.500487","","False","","0.54","2","Non spécifié","0.5","2026-04-21T17:24:54.500487"
"FAYOLLE CONSTRUCTION INTERNATIONAL","FAYOLLE CONSTRUCTION INTERNATIONAL","","","","30 RUE DE L'EGALITE 95230 SOISY-SOUS-MONTMORENCY","Soisy-sous-Montmorency","Île-de-France","France","95230","BTP","","","","","","908913668","90891366800012","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.500487","","False","","0.534","2","Non spécifié","0.5","2026-04-21T17:24:54.500487"
"AMA CONSTRUCTION","AMA CONSTRUCTION","hello@ama-renovation.fr","06 50 55 63 01","https://ama-renovation.fr/construction","100 AVENUE DU GENERAL LECLERC 93500 PANTIN","Pantin","Île-de-France","France","93500","BTP","","","","","","523722668","52372266800028","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.500487","","False","","0.418","2","Non spécifié","0.5","2026-04-21T17:24:54.500487"
"VA CONSTRUCTIONS","VA CONSTRUCTIONS","","","","RUE DE LA FOSSE MONTALBOT 91270 VIGNEUX-SUR-SEINE","Vigneux-sur-Seine","Île-de-France","France","91270","BTP","","","","","","522550508","52255050800025","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.500487","","False","","0.513","2","Non spécifié","0.5","2026-04-21T17:24:54.500487"
"LD CONSTRUCTION (LD CONSTRUCTION)","LD CONSTRUCTION","","","","94 ROUTE DE HOUDAN 78711 MANTES-LA-VILLE","Mantes-la-Ville","Île-de-France","France","78711","BTP","","","","","","533346227","53334622700028","41.20B","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:54.500487","","False","","0.426","2","Non spécifié","0.5","2026-04-21T17:24:54.500487"
