"nom_commercial","raison_sociale","email","telephone","website","adresse","ville","region","pays","code_postal","secteur_activite","taille_entreprise","type_entreprise","nombre_employes","chiffre_affaires","description","siren","siret","code_naf","qualification_score","score_pct","qualification","enrich_score","email_mx_verified","criteria_met","criteria_total","source","source_origin","email_valid","website_active","linkedin_url","created_at","hash_dedup","is_converted","is_deleted","job_id","nlp_confidence","raw_text","score_detail","secteur_activite_id","secteur_activite_scraped","sector_confidence","updated_at"
"A.T.S CONSTRUCTION","A.T.S CONSTRUCTION","fr@gowork.com","07 71 95 22 08","https://gowork.fr/a-t-s-construction-orly","3 ALLEE ALEXANDRE DUMAS 94310 ORLY","Orly","Île-de-France","France","94310","BTP","","","","","Consultez les avis sur A T S CONSTRUCTION Orly. Informations sur les revenus, la gestion, l'atmosphère !","797508488","79750848800021","43.12A","70","70.0","QUALIFIE","4","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/gowork-fr/","2026-04-21T17:25:02.693819","422fb1bfb2beac63","","False","","0.487","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""fr@gowork.com""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://gowork.fr/a-t-s-construction-orly""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""07 71 95 22 08""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:02.693819"
"ADM CONSTRUCTION","ADM CONSTRUCTION","contact@admconstruction.eu","+33753624419","https://admconstruction.eu","65 RUE SAINT - GERMAIN 93230 ROMAINVILLE","Romainville","Île-de-France","France","93230","BTP","","","","","","824534051","82453405100019","43.29A","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:25:14.932827","e1c7888d3b66c88b","","False","","0.383","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""contact@admconstruction.eu""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://admconstruction.eu""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""+33753624419""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:14.932827"
"PRESTAN'S BTP +","PRESTAN'S BTP +","contact@prestans-btp.fr","+33 04 23 13 63 78","https://prestans-btp.fr","34 RUE EDOUARD VAILLANT 91200 ATHIS-MONS","Athis-Mons","Île-de-France","France","91200","BTP","","","","","","900736083","90073608300016","41.20A","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:25:24.955483","65dc94c1a264263f","","False","","1.0","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""contact@prestans-btp.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://prestans-btp.fr""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""+33 04 23 13 63 78""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:24.955483"
"ONE CONSTRUCTION (ONE CONSTRUCTION)","ONE CONSTRUCTION","contact@oneconstruction.pro","","https://oneconstruction.pro/fr/about","11 RUE DE LOURMEL 75015 PARIS","Paris","Île-de-France","France","75015","BTP","","","","","About Us About Us We are a dedicated company known for quality and reliability One Construction is a Paris-based construction and renovation company","849337332","84933733200019","41.10A","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:33.012750","6463f717c3ac9d5d","","False","","0.451","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""contact@oneconstruction.pro""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://oneconstruction.pro/fr/about""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"AMMARI CONSTRUCTION","AMMARI CONSTRUCTION","info@ammariconstruction.net","09.52.69.50.35","https://ammariconstruction.com","5 RUE BEAUGRENELLE 75015 PARIS","Paris","Île-de-France","France","75015","BTP","","","","","","752661843","75266184300041","41.20A","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:44.166533","790d1096803d4592","","False","","0.402","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": ""info@ammariconstruction.net""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://ammariconstruction.com""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""09.52.69.50.35""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"AP CONSTRUCTION (AWAPLAISIR)","AP CONSTRUCTION","contact@awaplaisir.fr","","https://awaplaisir.fr","10 RUE FRANCOISE DOLTO 78130 LES MUREAUX","Les Mureaux","Île-de-France","France","78130","BTP","","","","","Pose Shopify Template with multiple layouts and styles allows you to create different structures and satisfies any specific requirements for different kinds of business.","951345305","95134530500027","41.20A","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:44.167553","01cac9a0cc559a21","","False","","0.432","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""contact@awaplaisir.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://awaplaisir.fr""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.167553"
"HUGO CONSTRUCTION (ESTB)","HUGO CONSTRUCTION","umuc.hugoconstruction@gmail.com","03-22-12-00-59","https://www.hugoconstruction.fr","10 ALLEE DU CENTRE 91760 ITTEVILLE","Itteville","Île-de-France","France","91760","BTP","","","","","","817602162","81760216200056","41.20B","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:54.499476","50bf925b2099e4b2","","False","","0.446","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": ""umuc.hugoconstruction@gmail.com""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.hugoconstruction.fr""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""03-22-12-00-59""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"COLTS-CONSTRUCTIONS","COLTS-CONSTRUCTIONS","","0720-117471","https://entreprises.lefigaro.fr/colts-constructions-93/entreprise-884929803","42 ALLEE DES SABLONS 93410 VAUJOURS","Vaujours","Île-de-France","France","93410","BTP","","","","","Société Colts-Constructions (Vaujours, 93410) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","884929803","88492980300010","43.29A","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:25:14.932827","89df451da248cc9b","","False","","0.495","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 0, ""max"": 10, ""note"": """"}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://entreprises.lefigaro.fr/colts-constructions-93/entreprise-884929803""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""0720-117471""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:14.932827"
"YA CONSTRUCTION","YA CONSTRUCTION","contact@donizo.com","","https://donizo.com/fr/artisan/ya-construction","12 RUE DELIZY 93500 PANTIN","Pantin","Île-de-France","France","93500","BTP","","","","","YA CONSTRUCTION, Isolateur à PANTIN (93500). SIRET 97962094500019. Entreprise créée en 2023. Consultez les avis, coordonnées et informations légales sur Donizo.","979620945","97962094500019","43.29A","60","60.0","QUALIFIE","3","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/donizo","2026-04-21T17:25:14.932827","0fa8f0c01b28f721","","False","","0.431","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""contact@donizo.com""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://donizo.com/fr/artisan/ya-construction""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:14.932827"
"ETABLISSEMENT FRANCAIS DE CONSTRUCTION (E.F.C)","ETABLISSEMENT FRANCAIS DE CONSTRUCTION","trustandsafety@support.aws.com","","https://datalegal.fr/entreprises/514234442","143 AVENUE DE LA DIVISION LECLERC 93350 LE BOURGET","Le Bourget","Île-de-France","France","93350","BTP","","","","","➥ Accédez gratuitement aux informations légales et économiques de la société ETABLISSEMENT FRANCAIS DE CONSTRUCTION (E.F.C) (93350) ✓ SIREN – KBIS","514234442","51423444200010","43.29A","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:25:14.932827","034f5d2d29bd664a","","False","","0.435","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""trustandsafety@support.aws.com""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://datalegal.fr/entreprises/514234442""}, ""phone_present"": {""points"": 0, ""max"": 10, ""note"": """"}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:25:14.932827"
